AnoMes,VALOR,QUANTIDADE
202109,111540.68,1119
202502,16975.09,276
202308,333162.49,653
202309,21696.59,271
202303,55593875.89,188895
202403,274820.92,512
202206,11360.24,174
202204,55968.63,230
202211,17465391.81,68223
202202,4660.44,40
202111,873.17,9
202602,512409.53,1123
202111,54524863.48,41767
202211,5046080.08,35797
202211,85261.48,2286
202501,225981.12,7329
202509,1655.52,144
202011,1469374.2,204
202512,199009.22,367
202312,1911527.07,32778
202211,38177.17,540
202210,115900.74,2767
202207,82962.12,1395
202302,103397.42,251
202409,419347.41,725
202106,214329.86,466
202202,40260.02,168
202311,728082.67,1783
202306,750.51,52
202101,21326.11,126
202308,211115.92,2967
202603,73215.54,526
202108,295.0,1
202306,6417.12,11
202212,60249.79,10
202603,2.0,1
202601,12169.52,391
202204,126377.84,1009
202310,122.31,3
202201,215142.77,634
202209,269.0,3
